image_id,num,time
350,29,0.5
351,25,0.5
352,98,0.5
353,412,0.5
354,375,0.5
355,489,0.5
356,120,0.5
357,483,0.5
358,440,0.5
359,498,0.5
360,379,0.5
361,385,0.5
362,440,0.5
363,395,0.5
364,178,0.5
365,78,0.5
366,406,0.5
367,480,0.5
368,229,0.5
369,341,0.5
370,261,0.5
371,173,0.5
372,391,0.5
373,148,0.5
374,452,0.5
375,197,0.5
376,238,0.5
377,257,0.5
378,306,0.5
379,414,0.5
380,362,0.5
381,483,0.5
382,269,0.5
383,437,0.5
384,440,0.5
385,191,0.5
386,160,0.5
387,32,0.5
388,97,0.5
389,355,0.5
390,154,0.5
391,445,0.5
392,340,0.5
393,83,0.5
394,86,0.5
395,408,0.5
396,296,0.5
397,467,0.5
398,394,0.5
399,291,0.5
400,382,0.5
401,367,0.5
402,393,0.5
403,239,0.5
404,230,0.5
405,77,0.5
406,215,0.5
407,480,0.5
408,102,0.5
409,400,0.5
410,160,0.5
411,431,0.5
412,500,0.5
413,378,0.5
414,70,0.5
415,188,0.5
416,77,0.5
417,394,0.5
418,437,0.5
419,265,0.5
420,278,0.5
421,130,0.5
422,476,0.5
423,129,0.5
424,367,0.5
425,161,0.5
426,238,0.5
427,207,0.5
428,455,0.5
429,270,0.5
430,181,0.5
431,247,0.5
432,128,0.5
433,231,0.5
434,114,0.5
435,120,0.5
436,154,0.5
437,441,0.5
438,143,0.5
439,155,0.5
440,144,0.5
441,173,0.5
442,378,0.5
443,174,0.5
444,132,0.5
445,33,0.5
446,92,0.5
447,483,0.5
448,66,0.5
449,356,0.5
450,71,0.5
451,100,0.5
452,94,0.5
453,329,0.5
454,221,0.5
455,395,0.5
456,396,0.5
457,404,0.5
458,53,0.5
459,86,0.5
460,225,0.5
461,285,0.5
462,109,0.5
463,417,0.5
464,467,0.5
465,453,0.5
466,314,0.5
467,308,0.5
468,183,0.5
469,79,0.5
470,80,0.5
471,437,0.5
472,475,0.5
473,104,0.5
474,143,0.5
475,495,0.5
476,110,0.5
477,361,0.5
478,346,0.5
479,90,0.5
480,209,0.5
481,414,0.5
482,482,0.5
483,156,0.5
484,49,0.5
485,109,0.5
486,279,0.5
487,228,0.5
488,46,0.5
489,253,0.5
490,222,0.5
491,451,0.5
492,90,0.5
493,62,0.5
494,433,0.5
495,450,0.5
496,206,0.5
497,262,0.5
498,201,0.5
499,479,0.5
