image_id,num,time
200,500,0.5
201,486,0.5
202,325,0.5
203,81,0.5
204,60,0.5
205,357,0.5
206,94,0.5
207,314,0.5
208,445,0.5
209,243,0.5
210,135,0.5
211,364,0.5
212,142,0.5
213,292,0.5
214,461,0.5
215,435,0.5
216,425,0.5
217,255,0.5
218,304,0.5
219,250,0.5
220,448,0.5
221,262,0.5
222,201,0.5
223,225,0.5
224,322,0.5
225,433,0.5
226,362,0.5
227,482,0.5
228,160,0.5
229,227,0.5
230,220,0.5
231,459,0.5
232,307,0.5
233,417,0.5
234,99,0.5
235,339,0.5
236,256,0.5
237,220,0.5
238,467,0.5
239,45,0.5
240,137,0.5
241,90,0.5
242,290,0.5
243,272,0.5
244,188,0.5
245,132,0.5
246,195,0.5
247,64,0.5
248,456,0.5
249,466,0.5
250,67,0.5
251,119,0.5
252,389,0.5
253,356,0.5
254,93,0.5
255,226,0.5
256,146,0.5
257,261,0.5
258,91,0.5
259,171,0.5
260,240,0.5
261,58,0.5
262,405,0.5
263,309,0.5
264,327,0.5
265,234,0.5
266,299,0.5
267,33,0.5
268,304,0.5
269,207,0.5
270,211,0.5
271,429,0.5
272,497,0.5
273,489,0.5
274,36,0.5
275,155,0.5
276,427,0.5
277,248,0.5
278,500,0.5
279,370,0.5
280,59,0.5
281,468,0.5
282,164,0.5
283,235,0.5
284,316,0.5
285,306,0.5
286,390,0.5
287,175,0.5
288,446,0.5
289,321,0.5
290,378,0.5
291,138,0.5
292,237,0.5
293,42,0.5
294,388,0.5
295,256,0.5
296,184,0.5
297,30,0.5
298,52,0.5
299,443,0.5
300,473,0.5
301,168,0.5
302,148,0.5
303,62,0.5
304,415,0.5
305,232,0.5
306,137,0.5
307,49,0.5
308,47,0.5
309,442,0.5
310,327,0.5
311,256,0.5
312,119,0.5
313,95,0.5
314,372,0.5
315,482,0.5
316,358,0.5
317,335,0.5
318,179,0.5
319,454,0.5
320,80,0.5
321,310,0.5
322,196,0.5
323,176,0.5
324,161,0.5
325,286,0.5
326,80,0.5
327,269,0.5
328,182,0.5
329,270,0.5
330,263,0.5
331,386,0.5
332,251,0.5
333,426,0.5
334,137,0.5
335,366,0.5
336,452,0.5
337,303,0.5
338,323,0.5
339,158,0.5
340,95,0.5
341,196,0.5
342,175,0.5
343,130,0.5
344,268,0.5
345,458,0.5
346,136,0.5
347,403,0.5
348,484,0.5
349,362,0.5
